# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-7.97423701e+00 -1.06480730e+02 -9.33076475e-10];[0.9041494282381453, -0.6515874115563207, 0.9041494223228681, -1.146292451494437]
[  -7.97487958 -106.47236078    7.9748796 ];[1.146224241202386, -0.6517981183990365, 0.6517981105947003, -1.1462242362985988]
[  -7.97701746 -106.44197732   15.95548816];[1.3726633195463231, -0.6509581527736221, 0.3951659443557528, -1.1442691496810418]
[  -7.97921263 -106.41465648   23.94163267];[1.579730096076669, -0.6447026671530314, 0.1378084062158822, -1.1350309057740138]
[-2.02966582e-09 -1.06396453e+02  3.19294615e+01];[1.7690409879863553, -0.8760354823826462, -0.11989504744162785, -0.876035438591671]
[-1.80408287e-09 -1.06414461e+02  2.39411419e+01];[1.580500566101885, -0.8950555319174542, 0.13730527726544178, -0.8950554923950853]
[-6.99963128e-10 -1.06441669e+02  1.59551573e+01];[1.373157088229819, -0.9029210296871149, 0.3949000015201593, -0.9029210148721838]
[ 5.41487306e-10 -1.06472022e+02  7.97470536e+00];[1.1465604255079895, -0.9043808088775684, 0.6517729591233031, -0.9043808175732909]
[-7.26903844e-10 -1.06505620e+02  1.19288828e-09];[0.9036644684347837, -0.9036644867081812, 0.9036644694139774, -0.9036644748741494]
[-8.09925539e-10 -1.06472022e+02 -7.97470536e+00];[0.6517729621025447, -0.9043808250212722, 1.1465604109524907, -0.9043808083934999]
[-1.05194439e-09 -1.06441669e+02 -1.59551573e+01];[0.3948999915642365, -0.9029210401219693, 1.373157092978645, -0.9029210097642232]
[-5.63580511e-10 -1.06414461e+02 -2.39411419e+01];[0.13730527619292954, -0.8950555024512978, 1.5805005575646658, -0.8950554929468617]
[-1.72973512e-09 -1.06396453e+02 -3.19294615e+01];[-0.11989504635085259, -0.8760354715182485, 1.7690409684987343, -0.876035438065661]
[   7.97921263 -106.41465651  -23.94163267];[0.13780839671589157, -1.1350308999060887, 1.579730095627917, -0.6447026402360618]
[   7.97701746 -106.44197736  -15.95548816];[0.39516593514871506, -1.1442691749735971, 1.3726633140065045, -0.650958127627631]
[   7.97487958 -106.4723608    -7.9748796 ];[0.6517981231931687, -1.1462242543643708, 1.1462242289294284, -0.6517981092580771]
[ 7.97423701e+00 -1.06480730e+02 -1.29171369e-09];[0.9041494341804299, -1.1462924907520409, 0.9041494245131817, -0.651587392444007]
[   7.97487958 -106.47236075    7.9748796 ];[1.146224243367847, -1.146224249625412, 0.6517981150796068, -0.6517981080752144]
[   7.97701746 -106.44197739   15.95548816];[1.3726633375706947, -1.144269182603636, 0.3951659304097269, -0.6509581241985132]
[   7.97921263 -106.4146565    23.94163267];[1.5797300908958303, -1.1350309129253278, 0.1378084017792429, -0.644702642007221]
[  15.96067431 -106.41484009   23.94304195];[1.575376448322046, -1.3586921695029366, 0.13799598644400635, -0.3899557490703159]
[  15.95646591 -106.44243259   15.95646595];[1.3691481844226963, -1.3691482228543719, 0.3945134054366943, -0.3945133945550147]
[  15.95463141 -106.45043163    7.97657645];[1.1440017743686854, -1.3723736517136664, 0.6507712468279625, -0.3950238242508669]
[ 1.59534497e+01 -1.06458381e+02  7.69326424e-10];[0.9024676547386818, -1.3725892708715726, 0.9024676505026534, -0.39462311060328753]
[  15.95463141 -106.45043162   -7.97657645];[0.6507712562857746, -1.3723736447769428, 1.1440017892194263, -0.39502383026237037]
[  15.95646591 -106.44243261  -15.95646595];[0.3945134237826201, -1.3691482320861539, 1.3691481809792274, -0.39451339953272946]
[  15.96067431 -106.4148401   -23.94304195];[0.13799598036732638, -1.358692172732857, 1.5753764381187538, -0.38995574790568605]
[  23.94190031 -106.42307635  -15.95988912];[0.38980773019508175, -1.5750739600471682, 1.3584008051887624, -0.13788551956659584]
[  23.93935808 -106.43066274   -7.97840788];[0.644340535814572, -1.5791525891525546, 1.1345174807551908, -0.13760333395446359]
[ 2.39377420e+01 -1.06438173e+02 -1.37628248e-09];[0.8944013358427242, -1.579651980627956, 0.8944013261361214, -0.1370073422902522]
[  23.93935808 -106.43066271    7.97840788];[1.1345174779843563, -1.5791525905069688, 0.6443405597151033, -0.13760334240857774]
[  23.94190031 -106.42307638   15.95988912];[1.3584008063305826, -1.575073934051061, 0.3898077269343097, -0.13788552409543609]
[ 3.19254267e+01 -1.06418844e+02  6.01063207e-11];[0.8754162076560107, -1.7682233120439792, 0.8754161949933854, 0.12010346793230575]
[  31.91702264 -114.35773483  -15.96083563];[0.20895603863306944, -1.5052558868669919, 1.0819471588658924, 0.24349483933898813]
[  31.91376227 -114.36408702   -7.97974304];[0.43822879485972044, -1.51623526479431, 0.8775354602586366, 0.2409623761731832]
[ 3.19116247e+01 -1.14370303e+02 -1.59584064e-09];[0.6618681298940647, -1.5194437234060556, 0.6618681113709152, 0.24038053327192166]
[  31.91376227 -114.36408704    7.97974304];[0.8775354873640878, -1.5162352807842387, 0.4382287872478764, 0.24096236972675028]
[  31.91702263 -114.35773486   15.96083563];[1.081947172398521, -1.5052559039745192, 0.2089560418264578, 0.2434948345613525]
[  23.93829745 -114.364638     23.9382975 ];[1.303882913188005, -1.303882945197895, -0.010021120037048227, 0.010021133951682415]
[  23.93491136 -114.37166625   15.95726751];[1.110110903636261, -1.322534134902727, 0.22584004282139608, 0.0023936358143387404]
[  23.93226514 -114.37822137    7.97784326];[0.902892047139249, -1.3318994291299684, 0.45785393087401566, -0.0008459858593110048]
