# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ -7.96731366 -90.60692009  -7.96731369];[1.0613493194328658, -1.0613493225557382, 1.6795302401569914, -1.6795302497675055]
[-7.96694595e+00 -9.06171810e+01 -1.68792155e-09];[1.3814079957260776, -1.0560911709086451, 1.3814079881892685, -1.6726906428045245]
[ -7.96731366 -90.6069201    7.96731369];[1.679530263783983, -1.0613493587616705, 1.0613493283745357, -1.679530253986409]
[ -7.96969822 -90.55609568  15.94938093];[1.9406502250570292, -1.0720861279320166, 0.7406576385358816, -1.6934569031253606]
[ -7.97205532 -90.51061217  23.94490766];[2.1601059359019827, -1.0761886567007268, 0.43091411120592266, -1.6981271387270134]
[ -7.97432643 -90.4767875   31.94726877];[2.3435765301278413, -1.0653264112733054, 0.1344770699067997, -1.682402212296529]
[ -7.97723299 -90.44389627  39.95226347];[2.5000267750147653, -1.036083911004804, -0.1522272375567768, -1.6418868382131158]
[-1.14798194e-09 -9.04306781e+01  3.99532019e+01];[2.494433080158018, -1.3490826642117992, -0.15634941015330223, -1.3490826359481283]
[-1.56896395e-09 -9.04628103e+01  3.19486222e+01];[2.336992478145063, -1.384636595421805, 0.1303539140226962, -1.3846365490287071]
[-1.22865416e-09 -9.05009011e+01  2.39459988e+01];[2.153038136577002, -1.398275286339044, 0.4266667767619355, -1.3982752367921765]
[-8.35991083e-10 -9.05538123e+01  1.59497769e+01];[1.9335800079051988, -1.3939702909792533, 0.7360990187002876, -1.3939702482568486]
[-5.84480392e-10 -9.06058208e+01  7.96754668e+00];[1.673144450363205, -1.3818005166374447, 1.0563936881277316, -1.3818004857095583]
[-4.80980839e-10 -9.06648691e+01 -1.85676981e-10];[1.374168249824078, -1.374168274946915, 1.3741682480726172, -1.3741682482906692]
[-2.92233049e-10 -9.06058208e+01 -7.96754668e+00];[1.0563936735795942, -1.3818005072040538, 1.673144446128886, -1.3818004906478456]
[-2.66115607e-10 -9.05538122e+01 -1.59497769e+01];[0.7360990251185253, -1.3939702659982154, 1.9335800035583364, -1.3939702528585254]
[-7.27705603e-10 -9.05009011e+01 -2.39459988e+01];[0.426666781735739, -1.3982752675396508, 2.1530381270738044, -1.3982752376873708]
[-5.88673102e-10 -9.04628103e+01 -3.19486222e+01];[0.13035391878378494, -1.3846365695900775, 2.3369924582350143, -1.3846365511035301]
[-1.06896251e-09 -9.04306782e+01 -3.99532019e+01];[-0.15634941047514614, -1.349082661591347, 2.4944330678877065, -1.34908263307285]
[  7.97723299 -90.44389621 -39.95226347];[-0.15222725649561164, -1.6418868731805825, 2.500026782824777, -1.0360838914376858]
[  7.97432643 -90.47678745 -31.94726877];[0.1344770763512245, -1.6824022291514134, 2.3435765272016416, -1.0653263887942697]
[  7.97205532 -90.51061217 -23.94490766];[0.4309140974953517, -1.6981271667474243, 2.1601059403862006, -1.0761886400296579]
[  7.96969822 -90.55609566 -15.94938093];[0.7406576283276408, -1.693456938097932, 1.9406502210013459, -1.072086096911844]
[  7.96731367 -90.60692001  -7.96731369];[1.0613493253141784, -1.6795302712341598, 1.679530243907842, -1.0613493067191604]
[ 7.96694594e+00 -9.06171811e+01 -2.06351943e-10];[1.3814079838969957, -1.6726906528791328, 1.3814079712093892, -1.0560911380612164]
[  7.96731366 -90.60692006   7.96731369];[1.6795302545392836, -1.6795302659860514, 1.0613493140193933, -1.0613493062934978]
[  7.96969823 -90.55609556  15.94938094];[1.9406502312181615, -1.6934569200040537, 0.7406576236356871, -1.0720860972178912]
[  7.97205532 -90.51061223  23.94490765];[2.160105954750535, -1.6981271622054632, 0.43091409537461334, -1.076188639841485]
[  7.97432643 -90.47678743  31.94726878];[2.343576536105344, -1.68240226833854, 0.13447707940730808, -1.0653263933275465]
[  7.97723299 -90.44389619  39.95226348];[2.5000267948231487, -1.6418868848620976, -0.15222725050181368, -1.03608389200839]
[ 15.96097876 -90.45304856  39.95256183];[2.5103351616947784, -1.8987059100110741, -0.1430752670869944, -0.7232274633444044]
[ 15.95616535 -90.48589087  31.94681909];[2.356279626305905, -1.9423173136137946, 0.14333953158601576, -0.746393724739861]
[ 15.95240806 -90.51866089  23.9440139 ];[2.1736139529059786, -1.959040091567785, 0.4396220795841425, -0.7541191600621675]
[ 15.9486376  -90.5603268   15.94863765];[1.9537230236598788, -1.9537230234543348, 0.7494730228301709, -0.7494730147515496]
[ 15.94840937 -90.5668394    7.9691212 ];[1.693008425990328, -1.9401829001889066, 1.0717872721406327, -0.7404362549609605]
[ 1.59478647e+01 -9.05750241e+01 -2.00699437e-10];[1.3932168490503456, -1.9326720971180298, 1.3932168447055424, -0.7356694263117612]
[ 15.94840936 -90.56683949  -7.9691212 ];[1.0717872714204568, -1.9401828709525697, 1.6930084250564088, -0.7404362500513019]
[ 15.94863761 -90.56032676 -15.94863765];[0.7494730340291105, -1.95372302451208, 1.9537230136577204, -0.7494730172599424]
[ 15.95240807 -90.51866083 -23.94401391];[0.4396220896305971, -1.959040114348617, 2.173613950247157, -0.754119163833514]
[ 15.95616535 -90.48589079 -31.9468191 ];[0.14333952130613528, -1.9423173060667067, 2.3562796289115644, -0.7463937209882702]
[ 15.96097884 -90.45304877 -39.95256209];[-0.14307569844361528, -1.8987058129898298, 2.5103364268644137, -0.72322704970948]
[ 23.95450848 -90.45308848 -39.9541857 ];[-0.13587912834903465, -2.1141887804000206, 2.5102736855358088, -0.4215433412439717]
[ 23.949039   -90.48471801 -31.94784271];[0.14936427744321923, -2.15977557315706, 2.35890650080127, -0.4396446576710785]
[ 23.94469922 -90.51527918 -23.94469929];[0.4445368088122147, -2.1773720638576113, 2.1773720250524393, -0.44453680112758204]
[ 23.94288346 -90.52913536 -15.95145598];[0.7538933453361678, -2.173142206775048, 1.9585641208904516, -0.43944724213648273]
[ 23.94270472 -90.53100314  -7.97095623];[1.07561326556464, -2.1592140552598167, 1.6972632038028255, -0.43058518332948426]
[ 2.39428078e+01 -9.05304435e+01  9.66455587e-11];[1.3972106575187515, -2.1517672764254203, 1.3972106571729404, -0.42619959004509633]
[ 23.94270471 -90.53100323   7.97095623];[1.6972632036855384, -2.1592140675193194, 1.0756132531139215, -0.4305851815817253]
